{package_name: ta_manouevre, input_parameters: {direction: {pvf_type: string, pvf_example: left}, verb: {pvf_type: string, pvf_example: turn}}}	Turn left
{package_name: ta_pickup, input_parameters: {locale: {pvf_type: string, pvf_example: from the dresser}, object: {pvf_type: string, pvf_example: alarm clock}, verb: {pvf_type: string, pvf_example: Pick up}}}	Pick up the alarm clock from the dresser.
{package_name: ta_manouevre, input_parameters: {direction: {pvf_type: string, pvf_example: left}, verb: {pvf_type: string, pvf_example: turn}}}	turn to the left to
{package_name: ta_pickup, input_parameters: {locale: {pvf_type: string, pvf_example: the dresser}, object: {pvf_type: string, pvf_example: the alarm clock}, verb: {pvf_type: string, pvf_example: Pick up}}}	Pick up the alarm clock from the dresser
{package_name: ta_pickup, input_parameters: {locale: {pvf_type: string, pvf_example: from underneath the edge of the table}, object: {pvf_type: string, pvf_example: the basketball}, verb: {pvf_type: string, pvf_example: Take}}}	Take the basketball from underneath the edge of the table.
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string, pvf_example: around}, verb: {pvf_type: string, pvf_example: Turn}}}	Turn around and
{package_name: ta_navigation, input_parameters: {location: {pvf_type: string, pvf_example: to the desk}, verb: {pvf_type: string, pvf_example: walk}}}	walk across the room to the desk.
{package_name: ta_toggle, input_parameters: {locale: {pvf_type: string, pvf_example: upper shelf of the desk}, object: {pvf_type: string, pvf_example: the lamp}, state: {pvf_type: string, pvf_example: on}, verb: {pvf_type: string, pvf_example: Turn}}}	Turn on the lamp on the upper shelf of the desk.
{package_name: ta_survey, input_parameters: {object: {pvf_type: string, pvf_example: basketball}, verb: {pvf_type: string, pvf_example: see}}}	see the basketball in the light.
{package_name: ta_navigation, input_parameters: {location: {pvf_type: string, pvf_example: to the white desk under the bedroom window}, verb: {pvf_type: string, pvf_example: Move}}}	Move across the room to the white desk under the bedroom window
{package_name: ta_pickup, input_parameters: {locale: {pvf_type: string, pvf_example: sitting under the desk}, object: {pvf_type: string, pvf_example: the basketball}, verb: {pvf_type: string, pvf_example: pick up}}}	pick up the basketball sitting under the desk
{package_name: ta_transport, input_parameters: {location: {pvf_type: string, pvf_example: to the wood colored desk located to the right of the bed}, object: {pvf_type: string, pvf_example: the basketball}, verb: {pvf_type: string, pvf_example: Carry}}}	Carry the basketball and
{package_name: ta_toggle, input_parameters: {locale: {pvf_type: string, pvf_example: sitting on top of the desk}, object: {pvf_type: string, pvf_example: the lamp}, state: {pvf_type: string, pvf_example: on}, verb: {pvf_type: string, pvf_example: Turn}}}	Turn on the lamp sitting on top of the desk
{package_name: ta_pickup, input_parameters: {object: {pvf_type: string, pvf_example: a basketball}, verb: {pvf_type: string, pvf_example: Carry}}}	Carry a basketball while
{package_name: ta_toggle, input_parameters: {object: {pvf_type: string, pvf_example: a lamp}, state: {pvf_type: string, pvf_example: on}, verb: {pvf_type: string, pvf_example: turning}}}	turning on a lamp
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string, pvf_example: Turn}, verb: {pvf_type: string, pvf_example: around}}}	Turn around
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string, pvf_example: right}, verb: {pvf_type: string, pvf_example: turn}}}	turn right
{package_name: ta_navigation, input_parameters: {location: {pvf_type: string, pvf_example: to the white table}, verb: {pvf_type: string, pvf_example: walk}}}	walk to the white table
{package_name: ta_navigation, input_parameters: {location: {pvf_type: string, pvf_example: to the side of the table}, verb: {pvf_type: string, pvf_example: walk}}}	walk to the side of the table
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string, pvf_example: around}, verb: {pvf_type: string, pvf_example: Turn}}}	Turn around then
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string, pvf_example: left}, verb: {pvf_type: string, pvf_example: turn}}}	turn left
{package_name: ta_navigation, input_parameters: {location: {pvf_type: string, pvf_example: to the door}, verb: {pvf_type: string, pvf_example: walk}}}	walk forward to the door
{package_name: ta_navigation, input_parameters: {location: {pvf_type: string, pvf_example: to the lamp on the desk}, verb: {pvf_type: string, pvf_example: walk}}}	walk to the lamp on the desk
{package_name: ta_pickup, input_parameters: {locale: {pvf_type: string, pvf_example: under the table on the floor}, object: {pvf_type: string, pvf_example: the basketball}, verb: {pvf_type: string, pvf_example: Grab}}}	Grab the basketball under the table on the floor
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string, pvf_example: left}, verb: {pvf_type: string, pvf_example: Turn}}}	Turn left
{package_name: ta_navigation, input_parameters: {location: {pvf_type: string, pvf_example: to the desk by the bed}, verb: {pvf_type: string, pvf_example: walk}}}	walk to the desk by the bed
{package_name: ta_toggle, input_parameters: {locale: {pvf_type: string, pvf_example: on the desk}, object: {pvf_type: string, pvf_example: the lamp}, state: {pvf_type: string, pvf_example: on}, verb: {pvf_type: string, pvf_example: Turn}}}	Turn on the lamp on the desk
{package_name: ta_pickup, input_parameters: {locale: {pvf_type: string, pvf_example: under the desk}, object: {pvf_type: string, pvf_example: the basketball}, verb: {pvf_type: string, pvf_example: Grab}}}	Grab the basketball under the desk,
{package_name: ta_toggle, input_parameters: {locale: {pvf_type: string, pvf_example: on the table}, object: {pvf_type: string, pvf_example: the lamp}, state: {pvf_type: string, pvf_example: on}, verb: {pvf_type: string, pvf_example: turn}}}	turn on the lamp on the table
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string, pvf_example: left}, distance: {amount: {pvf_type: number}, unit: {pvf_type: string}}, extent: {pvf_type: string}, verb: {pvf_type: string, pvf_example: turn}}}	turn left then
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string, pvf_example: straight}, distance: {amount: {pvf_type: number}, unit: {pvf_type: string}}, extent: {pvf_type: string}, verb: {pvf_type: string, pvf_example: walk}}}	walk straight
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string, pvf_example: left}, distance: {amount: {pvf_type: number}, unit: {pvf_type: string}}, extent: {pvf_type: string}, verb: {pvf_type: string, pvf_example: turn}}}	turn left
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string}, distance: {amount: {pvf_type: number}, unit: {pvf_type: string}}, extent: {pvf_type: string, pvf_example: to the wall}, verb: {pvf_type: string, pvf_example: walk}}}	walk to the wall
{package_name: ta_manoeuvre, input_parameters: {direction: {pvf_type: string, pvf_example: right}, distance: {amount: {pvf_type: number}, unit: {pvf_type: string}}, extent: {pvf_type: string, pvf_example: towards the desk}, verb: {pvf_type: string, pvf_example: turn}}}	turn right towards the desk
